#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,386.539201
-200.0,1,386.571291
-200.0,1,386.603335
697.1,149,388.676136
-200.0,1,388.711308
-200.0,1,388.743953
-200.0,1,388.774832
209.05,68,389.728101
-200.0,1,389.760937
-200.0,1,389.79432
-200.0,1,389.825823
-5.9,59,390.63429
-200.0,1,390.666593
-200.0,1,390.699702
-200.0,1,390.729717
-200.0,1,390.758493
2431.45,388,396.113067
-200.0,1,396.146351
-200.0,1,396.179289
-200.0,1,396.208412
-192.2,9,396.345682
-200.0,1,396.378475
-200.0,1,396.410516
-200.0,1,396.443195
491.4,153,398.5768
-200.0,1,398.615849
-200.0,1,398.647376
-200.0,1,398.677216
-205.15,6,398.765889
1272.0,319,403.174944
-200.0,1,403.208694
-200.0,1,403.241452
-200.0,1,403.274013
472.8,105,404.740925
-200.0,1,404.774965
-200.0,1,404.808081
-200.0,1,404.840409
10.7,81,405.960965
-200.0,1,405.994063
-200.0,1,406.027471
-200.0,1,406.063552
-200.0,1,406.094734
-92.05,74,407.115023
-200.0,1,407.147105
-200.0,1,407.17938
-200.0,1,407.210933
1667.2,293,411.264513
-200.0,1,411.298706
-200.0,1,411.332722
-200.0,1,411.363239
196.75,120,413.032288
-200.0,1,413.066998
-200.0,1,413.098577
-200.0,1,413.129933
27.25,30,413.554242
-200.0,1,413.587305
-200.0,1,413.620043
-200.0,1,413.651104
2875.05,864,425.944206
-200.0,1,425.977681
-200.0,1,426.013929
-200.0,1,426.045079
-143.55,36,426.539646
-200.0,1,426.574411
-200.0,1,426.604675
-200.0,1,426.636535
865.35,208,429.510579
-200.0,1,429.542855
-200.0,1,429.576427
-200.0,1,429.60796
-200.0,1,429.642372
58.9,67,430.562109
-200.0,1,430.595155
-200.0,1,430.628489
-200.0,1,430.659271
151.1,73,431.681852
-200.0,1,431.71389
-200.0,1,431.745725
-200.0,1,431.777903
-200.0,1,431.807916
-41.8,35,432.304282
-200.0,1,432.336992
-200.0,1,432.370892
-200.0,1,432.409985
-200.0,1,432.439914
-200.0,1,432.469508
429.55,152,434.588995
-200.0,1,434.622773
-200.0,1,434.656978
-200.0,1,434.691868
-200.0,1,434.724137
-204.2,5,434.807984
-200.0,1,434.839246
-200.0,1,434.873126
